founder,location,UG degree,UG school,g year,G degree,G school,g year.1,prof summary,early career,mid career,late career,key achievements,selected company,motivation,vision/mission,personal input,sources
Rebecca Holmes,Raleigh-Durham-Chapel Hill Area,"BA in Dance, Markets & Management Studies Certificate",Duke University,"2,015",,,,"Rebecca Holmes is a dedicated Cultural & Public Arts Program Manager located in the Raleigh-Durham-Chapel Hill area, focusing on integrating health and well-being within community programs. With significant experience in promoting arts and culture, she strives to enhance community engagement through innovative public art initiatives.","Rebecca began her career in the arts, where she worked with various cultural organizations to implement programs aimed at increasing public access to art. Her early experience involved not only management tasks but also engaging directly with communities to assess their needs and expectations from public arts.","In her mid-career phase, Rebecca took on more leadership roles within larger organizations, managing teams and larger-scale projects. She focused on developing frameworks for sustainable arts programs that not only promoted culture but also addressed community health and well-being, collaborating with local health organizations to develop integrative initiatives.","Currently serving in a managerial role, Rebecca exemplifies a commitment to continuous improvement in the field of public arts. She leverages her extensive experience to innovate community projects that effectively combine arts with health initiatives, aiming to create a lasting impact on public well-being.","Successfully developed and launched several community-based art projects that fostered public engagement and heightened awareness of health issues. Rebecca has also received recognition for her innovative approaches to merging cultural programming with health and wellness, illustrating the importance of holistic community development.",Ello Raw,"Motivated by a passion for the transformative power of art, Rebecca aims to leverage cultural projects as a means of enhancing public health and community cohesiveness. Her belief is that art can be a vital tool in improving individual and collective well-being.","Rebecca envisions a community where art and well-being are intertwined, creating spaces that not only celebrate culture but also promote health. Her mission is to develop and implement arts programs that contribute positively to community well-being and resilience.","""Art has the unique ability to connect us. When we engage with our communities through creative expression, we not only uplift spirits but also foster healing and well-being. My journey is about making those connections real.""","https://www.duke.edu, https://www.linkedin.com/in/rebeccaholmes, https://www.durhamnc.gov, https://www.cityofraleighnc.gov"
Eric Huang,"Durham, North Carolina, United States","AB in History, Literature",Harvard University,"1,990",MD/PhD,Duke University,"2,003","Eric Huang is a distinguished scholar and practitioner based in Durham, North Carolina, with an extensive background in public policy and health research. With a degree from Harvard University, he has made significant contributions to the fields of gastroenterology and public health, particularly through his involvement in research relating to liver diseases and their social implications during the COVID-19 pandemic.","Eric began his career in health research focusing on the psychosocial aspects of epidemics. His early work included studies on the mental health effects of COVID-19 among various demographics, contributing valuable insights into public health concerns related to the pandemic.","In his mid-career, Huang transitioned into specific research areas such as liver disease, playing a pivotal role in studies aimed at understanding liver stiffness and its implications for disease progression and patient outcomes. His involvement in these studies partnered with leading institutions has enhanced clinical research and treatment protocols for liver-related illnesses.","As Eric advances in his career, he continues to influence both academic and clinical circles through his research on liver health and public health policies. He often collaborates with various stakeholders, including healthcare systems and government agencies, to tackle pressing health issues in society.","Eric's key achievements include co-authoring significant research articles on liver stiffness and disease prognosis, active participation in a large-scale national study during the COVID-19 pandemic, and being recognized in professional circles for his contributions to gastroenterological research and public health advocacy.",KelaHealth,Eric is motivated by a passion for improving healthcare outcomes and addressing social determinants of health. His belief that research should directly benefit impacted communities drives his work in public health.,"Eric's vision is to bridge the gap between clinical research and public health practice, ensuring that findings lead to real-world benefits for patients suffering from chronic diseases, especially in underserved populations.","""Research should not exist in a vacuum; it must translate into actionable insights that improve lives. Understanding the human aspect of health issues is as crucial as the clinical data.""","https://pubmed.ncbi.nlm.nih.gov/36750244, https://harvard.zoom.us/webinar/register/WN_9khFolPESFa0fbOoNQCjyQ, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6868134/"
Natalie Hwang,"New York, New York, United States","BA in Public Policy, Economics",Duke University,"2,001",JD,University of Virginia,"2,005","Natalie Hwang is a seasoned investment professional and the Founding Managing Partner at Apeira Capital. With extensive experience in corporate venture capital and a strong background in finance and law, she is recognized for her innovative approach to investing in retail and commerce, utilizing insights from her roles in prominent firms like Simon Ventures and The Blackstone Group.","Natalie began her career at Simpson Thacher & Bartlett LLP, where she engaged in numerous high-profile transactions across private equity, hedge funds, and mergers and acquisitions. Her work at the law firm laid the groundwork for her transition into the world of venture investing and asset management.","After her tenure at Simpson Thacher, Natalie moved to The Blackstone Group, where she was part of the firm's seeding platform dedicated to investing in emerging alternative asset management businesses. She then took a significant role at Simon Ventures, leading their investment strategy focused on the future of retail and commerce, and advancing to a solo leadership position.","Currently, as the Founding Managing Partner at Apeira Capital, Natalie drives investment efforts, focusing on discovering and scaling next-generation retail and commerce companies. Her strategic insights and leadership have positioned her at the forefront of corporate venture capital, garnering recognition within the industry.","Named to Global Corporate Venturing’s list of Rising Stars in 2016 and the Powerlist of the top 100 heads of corporate venture funds in 2017. She successfully scaled Simon Ventures’ portfolio to seven companies, including Grailed and FabFitFun, and championed innovative investment strategies.",Apeira Capital,"Natalie's motivation stems from her passion for innovation in retail and commerce, driven by a desire to support dynamic founders and contribute to impactful change in the industry. She seeks to leverage her extensive experience to mentor and uplift emerging companies through strategic partnerships.","Natalie's vision is to redefine how corporate venture capital interacts with innovation, aiming to create a sustainable ecosystem that benefits investors and entrepreneurs alike. She believes in a partnership model that emphasizes personalized capital solutions tailored to meet the unique needs of each company.","""Our roots as a venture capital fund are richly steeped in retail. We are uniquely situated to provide our founders with resources that can offer them a distinct edge.""","https://www.globalventuring.com/, https://www.nyfashiontechlab.com/"
Akshita Iyer,Atlanta Metropolitan Area,BS in Neuroscience,Duke University,"2,014",,,,"Akshita Iyer is the founder and CEO of Ome, a company dedicated to creating innovative kitchen safety solutions through smart technology. With a background in neuroscience from Duke University, she transitioned from aspiring doctor to entrepreneur after witnessing the risks associated with unattended cooking, fueling her passion for enhancing kitchen safety.","Akshita began her career in academia as a Teaching Assistant in Neuroscience at Duke University from 2013 to 2014. She gained experience as an Analyst and Program Manager at Duke University Health System, where she developed a foundation in project management and health technology before making the leap to entrepreneurship.","In 2017, Akshita founded Ome, where she harnessed her experience and insights to develop smart kitchen appliances aimed at preventing kitchen-related hazards. Recognizing the lack of technological innovation in traditional kitchen appliances, she embarked on building the first retrofit system designed for easy installation on existing stoves. Her participation in Techstars and various startup competitions helped her gain visibility and refine her product.","As CEO of Ome, Akshita is focused on scaling the company and expanding its product line, moving Ome's headquarters to Atlanta to foster closer relationships with investors and community stakeholders. She continues to innovate in the smart kitchen industry, seeking opportunities to partner with senior living facilities to enhance safety for vulnerable populations.","Successfully launched Ome's smart knob after a successful appearance on Shark Tank, building a waitlist of over 10,000 customers without spending on marketing. The company developed a second-generation smart knob that is more compatible and feature-rich, improving kitchen safety for households nationwide.",Ome,"Akshita's motivation stems from witnessing the hazards of unattended cooking firsthand, especially as it affected her family. This personal experience propelled her to address a meaningful problem and create solutions that positively impact home safety.","Ome's mission is to leverage innovative technology to transform the kitchen experience, enhancing safety, promoting independence for vulnerable populations, and designing products that seamlessly integrate into modern homes. In addition, her vision is to create a universally safe kitchen environment.","""Setbacks are not failures; they are opportunities for growth. I am driven by the belief that we can make kitchens safer for every household, allowing families to focus on what truly matters—being together.""","https://www.atlantastartuppodcast.com/episode/akshita-iyer-ome, https://hypepotamus.com/startups/ome-smart-knob-launch/, https://www.thestoryexchange.org/2024/01/meet-akshita-iyer-founder-of-ome/, https://omestartup.com"
Danielle James,"New York, New York, United States","BA in Public Policy, Psychology",Duke University,"2,006",,,,"Danielle James is an award-winning fashion and beauty journalist, entrepreneur, and consultant based in New York. With over 15 years of experience, she has made significant contributions to the fashion industry through editorial work, partnerships, and the founding of innovative projects that support sustainability and community dialogue.","Danielle began her career in fashion and beauty journalism after earning her Bachelor of Arts in Psychology from Duke University. In her early years, she focused on developing her writing skills while contributing to various publications. She also gained experience as an international agency model, participating in editorial campaigns and fashion shows like New York Fashion Week.","In her mid-career phase, Danielle took on prominent roles, including Head of Fashion and Beauty Partnerships for the Women’s Division at iONE Digital, where she managed partnerships for high-traffic sites like HelloBeautiful.com and MadameNoire.com. During this time, she also ventured into entrepreneurship by founding Model Citizen, promoting sustainable fashion and peer-to-peer clothing sharing.","Currently, Danielle holds the position of Digital Beauty Director at ELLE, where she curates content that reflects the latest trends and stories in the beauty industry. Furthermore, she has co-founded Safe Space, a platform for meaningful conversations, expanding her influence and reach in the community.","Danielle has interviewed numerous high-profile celebrities, including Viola Davis and Taraji P. Henson. She has contributed to major publications like Allure, InStyle, Essence, and Good Housekeeping, solidifying her reputation in the fashion and beauty journalism landscape. Her company, Model Citizen, has also been recognized for its innovative approach to sustainable fashion.",Model Citizen,Danielle is motivated by a passion for storytelling and a commitment to promoting sustainability and inclusivity within the fashion and beauty industries. Her work seeks to connect people through shared narratives and empower emerging voices.,Danielle's vision is to reshape the fashion and beauty landscape to be more inclusive and sustainable. She strives to amplify diverse voices and encourage practices that foster community and environmental consciousness.,"""I believe in the power of fashion not only as a form of self-expression but as a catalyst for social change. Every piece of clothing tells a story and can contribute to a greater conversation about community and sustainability.""","https://www.bytevibes.com/danielle-james-instyle, https://www.intelligentrelations.com/profiles/danielle-james, https://www.elledigital.com/danielle-james"
Chetan Jhaveri,"Philadelphia, Pennsylvania, United States","BS in Economics, Public Policy",Duke University,"2,009",MBA/MPA,Massachusetts Institute of Technology & Harvard University,"2,017","Chetan Jhaveri is an accomplished technology executive currently serving as Senior Director of Engineering at Visa. He brings extensive expertise in software engineering and leadership from his tenure at Visa and IBM, combined with a solid educational foundation from prestigious institutions including the MIT Sloan School of Management and Duke University.","Chetan launched his career in technology with significant roles at IBM as an Advisory Software Engineer, focusing on innovative software solutions and web applications. His educational background in Computer Science laid the groundwork for his technical capabilities, enhancing his early contributions to software engineering.","Transitioning to Visa, Chetan held various positions, advancing from Staff Software Engineer to Lead Software Engineer and eventually transitioning to Director of Engineering. During this phase, he played a pivotal role in overseeing engineering projects, driving technological advancements, and mentoring junior engineers.","Chetan currently exemplifies leadership at Visa as Senior Director of Engineering, where he influences strategic direction and innovation in software engineering practices, aligning technological initiatives with corporate goals and ensuring the delivery of high-quality products and services.","Chetan's key achievements include successfully leading major engineering projects at Visa, significantly enhancing software performance and efficiency, earning recognition for his strategic contributions to technology innovation, and being involved in numerous initiatives that have positively impacted business operations.",Sophia,"Chetan is motivated by a passion for technology and a desire to solve complex challenges. He thrives on creating impactful solutions that enhance user experience and drive business success, motivating his pursuit of excellence in engineering.",Chetan's vision is to foster innovative technology solutions that enhance lives and empower businesses. He aims to drive change through engineering leadership and strategic initiatives that push the boundaries of technology.,"""Innovation is at the heart of technology. My goal is to lead teams that create solutions that not only meet current needs but also anticipate future challenges.""","https://radaris.com, https://www.linkedin.com, https://www.rocketreach.co"
Sid Kandan,"Los Altos, California, United States",BSE in Electrical and Computer Engineering,Duke University,"2,013",,,,"Sid Kandan is a visionary entrepreneur and technology leader based in Los Altos, California, with a commitment to transforming healthcare through innovative IoT solutions. As the founder and CEO of Stel Life, he aims to simplify connected health and enhance care accessibility for patients and care teams alike.","Sid began his professional journey by honing his programming skills through various Bluetooth projects during his studies at Duke University. His early experiences in tech environments, including time spent at Singularity University and Facebook, laid the foundation for his future ventures in health technology.","In the mid-stages of his career, he established Stel Life to bridge the gap in healthcare delivery by leveraging technology to create an infrastructure that promotes home-based care. During this period, he became actively involved in discussions concerning digital equity and the use of IoT in healthcare settings.","As he enters the later stages of his career, Sid continues to advocate for health equity and access to care, focusing his efforts on creating technologies that do not rely on typical access barriers like Wi-Fi or smartphones. His role as a speaker and thought leader emphasizes his commitment to tackling the digital divide in healthcare.","Founded Stel Life, developing patented technology that allows patients to connect with care teams without needing advanced tech services. Recognized for contributions to the digital health space and health equity discussions.",Stel Life,"Sid is motivated by a passion for improving healthcare access and equity, driven by personal experiences and a belief in the transformative power of technology.","His vision focuses on leveraging IoT to make healthcare services more equitable and accessible for all, particularly for vulnerable populations.","""I believe that technology should empower individuals and that healthcare can and should be accessible to everyone, regardless of their resources or technical abilities.""","https://www.venturecafe.org, https://www.duke.edu"
Yunha Kim,"San Francisco, California, United States","BS in Economics, Asian & Middle Eastern Studies",Duke University ,"2,011",MBA (dropped out),Stanford University,"2,017","Yunha Kim is a visionary entrepreneur based in San Francisco, California, known for founding Simple Habit, an award-winning meditation app, and Locket, an innovative app that enhanced smartphone lock screens. With a background in investment banking and significant accolades including recognition in Forbes 30 Under 30, she has made a notable impact in the tech industry.","Yunha Kim began her professional journey as an investment banking analyst at Jefferies after graduating magna cum laude from Duke University with a Bachelor of Science degree. She quickly transitioned to the tech startup world, co-founding Locket in 2013, where she raised $3.2 million in venture capital before selling the company to Wish in 2015.","In 2016, Yunha founded Simple Habit, a meditation app inspired by her personal experiences with stress relief through meditation. Under her leadership, the app gained significant traction, accumulating millions of downloads and numerous five-star reviews, establishing itself as a leader in the wellness app market. She successfully raised $12.8 million from top investors, including Y Combinator.","In March 2023, Yunha pivoted towards a new venture, Sleep Reset, focusing on tackling sleep issues exacerbated by the pandemic. This initiative reflects her commitment to mental health and wellness while utilizing evidence-based strategies such as CBT-I to design a personalized sleep improvement program.",1. Founded and led Simple Habit to become one of the leading meditation apps with over 7.3 million downloads and winning the Google Play Award for Best Well-Being App in 2018. 2. Recognized in Forbes' 30 Under 30 Consumer Technology list in 2017. 3. Raised $12.8 million from investors including Y Combinator and Foundation Capital.,Simple Habit,"Yunha Kim is motivated by her passion for mental health and wellness, aiming to create accessible solutions that address daily stress and sleep issues faced by individuals, particularly in fast-paced environments like tech and entrepreneurship.","Yunha's vision is to empower individuals to improve their mental health and overall well-being through technology, making meditation and sleep improvement tools accessible and effective for everyone, especially busy professionals.","""It's all about how you frame your perspective. If you are committed to believing that it sucks to be a female CEO, you will be right, and it will suck to be you. If you are committed to believing it’s awesome to be a female CEO, you will be happier and confident to be you.""","https://www.forbes.com/30-under-30/2022/technology/, https://www.businessinsider.com/yunha-kim-what-i-learned-in-my-first-year-as-a-female-startup-ceo-2014-4, https://www.cnbc.com/2023/03/06/meet-the-tech-ceo-going-deep-on-sleep.html, https://www.bizjournals.com/sanfrancisco/inno/stories/2022/11/07/yunha-kim-stanford-dropout-sleep-reset.html, https://www.forbes.com/sites/frederickdaso/2024/04/09/a-stanford-dropout-helps-people-reset-their-sleep-through-a-personalized-digital-sleep-clinic/"
Dave Kirkpatrick,"Durham, North Carolina, United States","BA in Physics, History",Duke University,"1,982",MBA,Univeristy of North Carolina,"1,991","Dave Kirkpatrick is a Managing Director and co-founder of SJF Ventures, a venture capital firm that invests in high-growth, positive impact ventures. With a strong background in clean technology and sustainability, he has successfully led the firm in capitalizing multiple funds totaling over $435 million since 1999, while focusing on sectors such as solar energy, energy efficiency, and recycling.","Dave's career began post-graduation from Duke University in 1982, where he worked with SunShares, a solar energy and recycling non-profit organization dedicated to promoting conservation and alternatives to fossil fuels. In 1993, he founded KirkWorks, a cleantech investment research firm, which enabled him to connect with industry leaders and investors.","In 1999, Kirkpatrick co-founded SJF Ventures, focusing on sustainable investments while capitalizing on double-bottom-line returns. He played a crucial role in raising significant capital for multiple funds, which allowed for a broader investment approach that included not only clean tech but also areas like education and health sectors.","Currently, as Managing Director, Kirkpatrick continues to lead SJF Ventures by engaging with innovative companies, fostering partnerships, and actively participating in the impact investment community. His dedication to promoting sustainability and financial success in ventures is reflected in the firm’s ongoing projects and investments.","Key achievements include leading SJF Ventures in raising over $435 million for impact-driven ventures, recognizing as the 2005 CDVC Practitioner of the Year and Recycler of the Year in 1996. He also played a critical role in successful exits such as TransLoc, which was acquired by Ford, and has served as chair for several impactful boards.",SJF Ventures,"Kirkpatrick's motivation stems from a deep-rooted passion for environmental conservation, cultivated from childhood experiences in nature, as well as a desire to combine financial success with social impact through sustainable investing.",Dave's vision is to create a thriving ecosystem of high-impact businesses that not only achieve financial success but also contribute positively to society and the environment. He aims to drive sustainable practices across industries and empower companies that prioritize ecological and social benefits.,"""My journey in sustainable investing has always been about finding a balance between profitability and positive impact. I believe that with the right support, ventures can be both successful and world-friendly.""","http://businessnc.com, https://www.theorg.com, http://youngstartup.com"
Kasper Kubica,"Durham, North Carolina, United States","BS in Physics, Computer Science",Duke University,"2,017",,,,"Kasper Kubica is a successful entrepreneur and co-founder of Carpe, a leading brand in sweat management solutions. Graduating from Duke University in 2017, he turned a personal health struggle into a thriving business that addresses hyperhidrosis. His innovative approach has led to significant growth and the recent acquisition of Carpe by Topspin Consumer Partners.","Upon graduating from Duke University in 2017, Kasper Kubica co-founded Carpe with David Spratte while both were still students. They originated the idea in their dorm rooms after bonding over their shared experience with hyperhidrosis, driving their passion to innovate effective sweat-management products.","In the years following the launch of Carpe, Kubica focused on scaling the business, which saw exponential growth driven by strong support from Duke alumni and structured funding rounds led by Duke Capital Partners. By 2024, Carpe had grown its product line significantly, making it a recognized brand in the personal care market.","As Carpe continues to evolve post-acquisition, Kubica is set to leverage the investment from Topspin Consumer Partners to expand the presence of Carpe products in retail markets. His ongoing leadership and commitment to innovation will be crucial for the brand's future trajectory.","1. Founded Carpe in 2015, creating a successful brand for sweat management products. 2. Led Carpe through multiple funding rounds, totaling $7.4 million. 3. Achieved acquisition by Topspin Consumer Partners in 2024, marking a significant milestone in the company's growth.",Carpe Lotion,Kasper's motivation stemmed from a personal struggle with hyperhidrosis. His desire to create effective solutions for others dealing with similar issues propelled him into entrepreneurship. The support from the Duke community further fueled his ambition.,Kasper's vision is to empower individuals facing challenges with excessive sweating by providing effective and innovative products. His mission is to ensure that everyone can manage their sweating confidently and feel comfortable in their own skin.,"""This past decade has been the most incredible journey I could imagine, and none of it would be possible without Duke. The brilliant, supportive members of the Duke community are the reason Carpe has grown to this massive milestone.""","https://dukecapitalpartners.duke.edu/news/c/w_n/2024/08/carpe-duke-founded-startup-acquired-topspin-consumer-partners, https://www.duke.edu/campus/news/sweaty-palms-move-dorm-room-board-room-duke-today, https://medium.com/authority-magazine/kasper-kubica-five-things-i-learned-as-a-twenty-something-founder-of-carpe-ec731586048b"
Alexander Kvamme,"Menlo Park, California, United States","BA in Public Policy, MMS",Duke University,"2,010",,,,"Alexander Kvamme is a visionary entrepreneur and the CEO of Pathlight, a Performance Intelligence Platform revolutionizing how organizations manage and optimize frontline employee performance. With a solid foundation in technology startups, Kvamme combines his expertise in performance management with a passion for empowering managers and employees through data-driven insights.","Alexander Kvamme began his career in the tech industry as a co-founder of SeatMe, a reservation management startup that provided innovative solutions for the restaurant industry. This experience equipped him with the skills and insights needed to navigate the fast-paced startup environment and ultimately led to the acquisition of SeatMe by Yelp in 2013.","Following his tenure at SeatMe, Kvamme transitioned into a role where he focused on investing in and advising various emerging startups in Silicon Valley. His insights into operational efficiency and performance management stemmed from his entrepreneurial background, which laid the groundwork for his next major venture—Pathlight.","Currently, Kvamme is leading Pathlight as its CEO. Under his leadership, the company aims to redefine performance management for customer-facing teams, utilizing real-time data and AI to facilitate effective coaching and improved productivity. His focus is on organizational transparency and employee empowerment, helping businesses adapt to modern workplace challenges.","- Successfully co-founded SeatMe, which was acquired by Yelp in 2013.
- Launched Pathlight, which has become a leading platform in Realtime Performance Management, backed by notable investors like Kleiner Perkins.
- Contributed articles to Forbes on leadership and resilience in the workplace, showcasing his thought leadership in the technology sector.",SeatMe,"Kvamme is motivated by a desire to empower frontline workers and enhance management efficiency. He believes that with the right tools, every employee can excel in their role, contributing to overall organizational success. His commitment to fostering data-driven decision-making is a testament to his dedication to improving workplace dynamics.",Kvamme's vision is to enable every individual in a customer-facing role to be their professional best through accessible performance data and coaching tools. He aims to create a seamless and supportive environment in which managers can elevate their teams through constructive feedback and real-time insights.,"""At Pathlight, we built a platform with the belief that everyone deserves clarity on their performance. Our mission is to remove barriers to performance insights and coaching, enabling teams to thrive even in complex environments.""","https://www.pathlight.com, https://www.forbes.com/sites/forbestechcouncil/2022/08/25/in-the-face-of-a-slowdown-lead-with-your-front-line-managers/, https://www.forbes.com/sites/forbestechcouncil/2022/05/05/the-self-management-revolution-is-here-how-to-embrace-it/, https://www.forbes.com/sites/forbestechcouncil/2022/02/10/a-look-at-2021-the-need-for-resilience-in-the-workplace/"
David L.Johnson,"New York, New York, United States","AB in Psychology, Markets & Management Studies Certificate",Duke University,"1,998",MBA,Georgetown,"2,004","David L. Johnson is a New York-based artist known for his interdisciplinary practice that explores the intersections of urban space, public and private property, and societal norms through photography, video, and installation art. He draws attention to the often-overlooked architectural elements within city environments, creating works that highlight the politics and aesthetics of public space.","Johnson began his artistic journey at The Cooper Union, where he earned a Bachelor of Fine Arts (BFA) in 2015. He quickly developed a distinctive voice in the art community, engaging in various studios and participating in exhibitions that focused on urban life and environmental interactions. His exposure to collaborative art practices and the Whitney Independent Study Program laid a strong foundation for his evolving artistic narrative.","By the time Johnson completed his Master of Fine Arts (MFA) at the University of Pennsylvania in 2020, he had gained considerable recognition through group exhibitions in prestigious venues such as MoMA PS1 and Palais de Tokyo. His solo exhibition at Theta in 2021 marked a significant milestone where he showcased his series Loiter, addressing the implications of hostile architecture within urban settings. He also began teaching as a part-time lecturer at the New School and UPenn, sharing his insights with students.","As of 2023, Johnson continues to expand his artistic portfolio with new installations and exhibitions, such as his participation in the 2023 Chicago Architecture Biennial and a solo presentation at Galerie Noah Klink. His work remains committed to interrogating contemporary life in New York City, utilizing stolen and found objects to reconsider the nuances of urban public spaces. His projects have sparked conversations around community interaction and ownership of public environments.","- Received a BFA from The Cooper Union and an MFA from the University of Pennsylvania.
- Completed the Whitney Independent Study Program (2021-2022).
- Exhibited works in prominent institutions including MoMA PS1, Palais de Tokyo, and the Chicago Architecture Biennial.
- Featured in critical reviews in renowned art publications like Financial Times, Flash Art, and Art in America.",Atlas Certified,"Johnson's work is motivated by an interest in how urban landscapes shape social interactions and affect marginalized communities. His artistic practice serves as a form of social critique, aiming to challenge the structures that inhibit communal life and reinforce social divisions.","His vision is to reclaim public space and encourage a dialogue about the shared use of urban environments, promoting inclusivity and awareness of the architectural surveillance that exists in everyday life.","""My practice is about making visible the invisible tensions in urban life—the politics of space and how it governs our interactions. I aim to encourage a more empathetic connection to our surroundings.""","https://www.artsy.net, https://www.bombmagazine.org, https://www.artforum.com, https://www.moma.org, https://www.the-art-map.com"
Sterling Lanier,"Menlo Park, California, United States",BA in English,Duke University,"1,995",MBA,"University of California, LA","2,002","Sterling Lanier is a seasoned entrepreneur and technology leader, currently serving as the CEO and co-founder of TurnKey, a company dedicated to helping venture-backed startups build and scale offshore software development teams. With an extensive background in healthcare technology as the former CEO of Tonic Health, and as the founder of Chatter, a prominent market research firm, Sterling has a proven track record of innovating within competitive industries.","Sterling began his career as a senior consultant at prominent management consultancies Prophet and Tattoo, where he honed his skills in strategic thinking and customer insights. His entrepreneurial journey took off when he co-founded Chatter, establishing it as a leading market research firm specializing in the gaming and television sectors.","During his mid-career, Sterling co-founded Tonic Health, focusing on transforming patient data collection through technology. Under his leadership, Tonic became a significant player in healthcare software, influencing patient engagement and data management practices before being acquired by R1 (NASDAQ: RCM).","Currently, Sterling leads TurnKey, where he leverages his extensive experience in both healthcare and software development to build dedicated teams for high-growth companies. His focus remains on innovation and efficiency in tech services across Eastern Europe and Latin America.","1. Successfully co-founded and scaled Tonic Health, leading to its acquisition by R1, enhancing patient intake processes in large healthcare systems.
2. Established Chatter as a leading market research firm, executing impactful projects for Fortune 500 clients.
3. Currently steering TurnKey to assist startups in optimizing their software development capabilities.",Tonic Health,"Sterling is driven by a passion for creating innovative solutions that meet unfulfilled consumer needs. He believes in the power of design and consumer-centricity to transform traditional industries, especially healthcare, into user-friendly environments.","Sterling's mission is to revolutionize the way technology enhances people’s experiences, particularly in healthcare, by fostering a deep understanding of customer needs and delivering exceptional value actionable through software development.","""The hardest part of bringing ideas to life is simply taking the first step. I believe in executing on ideas to create something tangible that can be refined from there.""","https://www.forbes.com/sites/forbestechcouncil/2023/03/28/16-tech-experts-share-their-favorite-tech-focused-podcasts/, https://www.forbes.com/sites/forbestechcouncil/2023/01/16/16-effective-ways-to-turn-an-sla-strategy-into-an-xla-strategy/, https://www.forbes.com/sites/forbestechcouncil/2022/10/20/16-signs-its-time-to-pull-the-plug-on-a-tech-project/, https://www.forbes.com/sites/forbestechcouncil/2022/09/06/15-smart-ways-retail-businesses-should-be-using-ai/, https://www.ideamensch.com/sterling-lanier-co-founder-and-ceo-of-tonic-health/"
Dylan Lauren,"New York, New York, United States",BA in Art History,Duke University,"1,996",,,,"Dylan Lauren is an American entrepreneur and the founder and owner of Dylan's Candy Bar, the largest candy store in the world. With a background in art history from Duke University, she transformed her lifelong passion for sweets into a thriving business that combines fashion, art, and nostalgia, appealing to both children and adults alike.","After graduating from Duke University in 1996, Dylan Lauren initially worked as an event planner, where she frequently incorporated candy into her designs and decorations. This experience solidified her passion for candies and led her to consider starting her own candy-focused business.","In 2001, after being inspired by the film 'Willy Wonka & the Chocolate Factory,' Lauren opened the first Dylan's Candy Bar in New York City. The store quickly gained popularity for its unique combination of numerous candy offerings and stylish decor. Over the next few years, Lauren expanded her business, opening multiple additional stores across the U.S. and branching into her own candy product line.","As of now, Dylan Lauren has established Dylan's Candy Bar as a flagship brand in the candy industry, with around 26 locations worldwide. Apart from her candy business, she has launched a foundation dedicated to animal welfare and appeared as a judge on the ABC show 'The Toy Box.' Her focus remains on innovation within the candy space and integrating her love for art and design into her business.","Founded Dylan's Candy Bar in 2001, which is recognized as the largest candy store in the world; authored a book titled 'Dylan’s Candy Bar: Unwrap Your Sweet Life' in 2010; launched 'Dylan’s Candy BarN', a foundation for animal welfare; appointed judge on the ABC reality show 'The Toy Box'; created a line of candy-related products and expanded her brand nationally and internationally.",Dylan's Candy Bar,"Lauren's deep passion for candy and childhood nostalgia motivated her to create a business that would not only provide sweets but also evoke joy and comfort for people of all ages. Additionally, she was inspired by her father, Ralph Lauren's philosophy to pursue one's dreams wholeheartedly.","To blend the worlds of fashion, art, and pop culture through candy, creating a whimsical environment that brings happiness, nostalgia, and creativity to every customer experience.","Dylan Lauren once said, 'If you have a dream, do it, because you'll do your best and find the energy to do the things that you are passionate about.' This reflects her commitment to following her passion and creating a joyful experience for her customers.","https://dukemagazine.duke.edu/article/dylan-lauren-96, https://en.wikipedia.org/wiki/Dylan_Lauren, https://www.thefamouspeople.com/profiles/dylan-lauren-49996.php, https://www.bustle.com/articles/156338-the-founder-of-dylans-candy-bar-on-the-moment-she-knew-shed-made-it"
Ryan Lee,"San Francisco, California, United States","BA in Biochemistry, Economics",Duke University,"2,004",JD,Emory University,"2,010",,,,,,Tuuthfairy,,,,
Thomas Lehrman,"Nashville, Tennessee, United States",BA in History,Duke University,"1,995",JD,Yale University,"2,004","Thomas D. Lehrman is a seasoned entrepreneur and investor based in Nashville, Tennessee, with a rich background in venture capital and public service. He is the Managing Partner of Teamworthy Ventures, where he fosters innovative companies and supports entrepreneurial teams. A co-founder of Gerson Lehrman Group, he has also held significant roles in U.S. government agencies and on several educational boards.","In the early stages of his career, Thomas worked as a financial analyst at Tiger Management. He then transitioned to public service, serving as a Director at the U.S. Department of State's Office of WMD Terrorism and as a staff member on the President's WMD Commission. This period laid the groundwork for his understanding of both finance and governance.","During his mid-career phase, Thomas co-founded the Gerson Lehrman Group (GLG), a prominent platform for expert networking and knowledge exchange. He served as Co-Chief Executive Officer, leading the company's growth and establishing it as a key player in the consulting industry. He also became deeply involved in education through board memberships with KIPP NYC Public Charter Schools and Cold Spring Harbor Laboratory.","Currently, Thomas is focused on his role at Teamworthy Ventures, where he invests in early-stage companies. His commitment to mentorship and support for entrepreneurs demonstrates a dedication to long-term success and innovation in diverse sectors, including consumer software and health IT.",#NAME?,Gerson Lehrman Group,Thomas is motivated by the desire to empower entrepreneurs and contribute to transformative changes in their industries. His experiences in both the public and private sectors drive his passion for fostering innovation and supporting educational initiatives.,Thomas's vision is to create a robust ecosystem that supports talented entrepreneurial teams in building sustainable and impactful companies. He is committed to making strategic investments that not only yield financial returns but also contribute positively to society.,"""Investing in great teams is not just about capital; it's about building relationships and creating value together.""","https://www.bizapedia.com/tn/somerset-grant-hope-llc.html, https://www.teamworthy.com/team, https://www.gilderlehrman.org"
